tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
397,01:48.7,08:26.2,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,14729,Customer,1996,1
531,03:15.7,12:07.0,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,42316,Subscriber,1991,1
715,04:37.1,16:32.1,3199,Newport Pkwy,40.7287448,-74.0321082,3276,Marin Light Rail,40.71458404,-74.04281706,45256,Customer,1969,0
420,10:23.4,17:24.3,3195,Sip Ave,40.7308971,-74.06391263,3201,Dey St,40.737711,-74.066921,46473,Customer,1969,0
150,25:01.8,27:31.9,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,42251,Subscriber,1989,2
217,54:29.9,58:07.3,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346383,-74.06285852,42112,Subscriber,1980,1
373,56:01.8,02:15.7,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,25492,Customer,1976,1
312,12:02.4,17:15.0,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,33361,Subscriber,1960,1
311,46:52.5,52:04.2,3191,Union St,40.7182113,-74.0836394,3694,Jackson Square,40.71113,-74.0789,42593,Subscriber,1969,1
364,17:47.6,23:51.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,15268,Subscriber,1968,2
348,18:04.5,23:53.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42788,Subscriber,2000,1
596,20:04.1,30:00.6,3678,Fairmount Ave,40.72572614,-74.07195926,3186,Grove St PATH,40.71958612,-74.04311746,44345,Subscriber,1996,1
564,52:11.2,01:36.0,3694,Jackson Square,40.71113,-74.0789,3195,Sip Ave,40.7308971,-74.06391263,28801,Customer,1969,0
8235,18:23.7,35:38.8,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,44687,Subscriber,1966,1
247,37:46.8,41:53.9,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42230,Subscriber,1981,1
75,52:04.6,53:19.9,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.7177325,-74.043845,44345,Subscriber,1986,1
493,53:35.4,01:49.2,3185,City Hall,40.7177325,-74.043845,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,44345,Subscriber,1986,1
